id,label,type,title,experiment_id,objective,hypothesis,conclusion,key_findings,limitations,slurry_id,role,name,category,chemical_formula,text_value,numeric_value,unit,condition,properties,step_type,metric_type,method,comparison_baseline,trend
Research_a51e0d94f6fd,Research,entity,Rheological properties and stability of NMP based cathode slurries for lithium ion batteries,,,,,,,,,,,,,,,,,,,,,
Extraction_d19c67115651,Extraction,entity,,EXP2013-001,Compare the colloidal stability of various NMP based cathode slurries by means of rheological testing.,The addition of a high molecular weight PVDF binder is sufficient to establish gel formation by bridging flocculation in case of the nanoscaled cathode material.,"The addition of a PVDF binder with sufficient long chain length was found to cause gel formation in NMP by bridging flocculation for nanoscaled LFP powder. For micron-sized NMC particles, the addition of nanosized carbon black was necessary to provide attraction between the NMC particles by formation of a particulate gel.","['The addition of a high molecular weight PVDF binder is sufficient to establish gel formation by bridging flocculation in case of the nanoscaled cathode material.', 'For the larger micron-scaled particles, the formation of a stable coagulated state is also feasible but it requires the combination of a particulate CB gel and a strengthening PVDF polymer network.', 'The micron-sized NMC particles in association with the comparably small binder molecules did not allow a creation of a stable polymer gel structure.', 'The addition of nanosized carbon black was necessary to provide attraction between the NMC particles by formation of a particulate gel.']","Additives, like binder or carbon black, are chosen and optimized predominantly for their impact on the electrochemical properties of the electrode.",,,,,,,,,,,,,,,
Slurry_bdd079028ce8,Slurry,entity,,,,,,,,SLURRY2013-001,,,,,,,,,,,,,,
Component_1053de12e699,Component,entity,,,,,,,,,Active Material,,,,,,,,,,,,,
Material_54ace0a45fc0,Material,entity,,,,,,,,,,LiFePO4,Olivine Phosphate,LiFePO4,,,,,,,,,,
MaterialProperty_ef8bb32df99b,MaterialProperty,entity,,,,,,,,,,Median Particle Size,,,,130.0,nm,,,,,,,
MaterialProperty_ca16de11dfea,MaterialProperty,entity,,,,,,,,,,Specific Surface Area,,,,16.0,m²/g,,,,,,,
MaterialProperty_a37aa557c0fa,MaterialProperty,entity,,,,,,,,,,Density,,,,3.46,g/cm³,,,,,,,
ComponentAmount_df05aab6a051,ComponentAmount,entity,,,,,,,,,,Volume Fraction,,,,20.0,vol%,,,,,,,
Component_f0bd877e9fd7,Component,entity,,,,,,,,,Active Material,,,,,,,,,,,,,
Material_edee1c86eb79,Material,entity,,,,,,,,,,Li(Ni1/3Mn1/3Co1/3)O2,Lithium Nickel Manganese Cobalt Oxide,Li(Ni1/3Mn1/3Co1/3)O2,,,,,,,,,,
MaterialProperty_fe980c39629e,MaterialProperty,entity,,,,,,,,,,Mean Particle Size,,,,8.9,µm,,,,,,,
MaterialProperty_b5aa0099fd4e,MaterialProperty,entity,,,,,,,,,,Specific Surface Area,,,,0.4,m²/g,,,,,,,
MaterialProperty_a81d5a3454b1,MaterialProperty,entity,,,,,,,,,,Density,,,,4.63,g/cm³,,,,,,,
Component_93ebc76b3037,Component,entity,,,,,,,,,Binder,,,,,,,,,,,,,
Material_baff62f33661,Material,entity,,,,,,,,,,Polyvinylidene Fluoride,Fluoropolymer,(C2H2F2)n,,,,,,,,,,
MaterialProperty_7313bdb1d9bc,MaterialProperty,entity,,,,,,,,,,Molecular Weight,,,,370000.0,g/mol,,,,,,,
MaterialProperty_a91841c6aad5,MaterialProperty,entity,,,,,,,,,,Molecular Weight,,,,450000.0,g/mol,,,,,,,
MaterialProperty_3cf1f3d15c6c,MaterialProperty,entity,,,,,,,,,,Molecular Weight,,,,900000.0,g/mol,,,,,,,
MaterialProperty_8fc5972b91b4,MaterialProperty,entity,,,,,,,,,,Molecular Weight,,,,1300000.0,g/mol,,,,,,,
ComponentAmount_8369bf7cc2d1,ComponentAmount,entity,,,,,,,,,,Weight Fraction,,,,5.0,wt%,,,,,,,
Component_361f680c5f29,Component,entity,,,,,,,,,Conductive Additive,,,,,,,,,,,,,
Material_cbcc9db8624c,Material,entity,,,,,,,,,,Carbon Black,Additive,C,,,,,,,,,,
MaterialProperty_9e13409d4770,MaterialProperty,entity,,,,,,,,,,Specific Surface Area,,,,62.0,m²/g,,,,,,,
MaterialProperty_329c04379d5d,MaterialProperty,entity,,,,,,,,,,Mean Particle Size,,,,35.0,nm,,,,,,,
ComponentAmount_925c6a7e3145,ComponentAmount,entity,,,,,,,,,,Weight Fraction,,,,4.0,wt%,,,,,,,
Component_cdda50b461a8,Component,entity,,,,,,,,,Solvent,,,,,,,,,,,,,
Material_fe070cf7da30,Material,entity,,,,,,,,,,N-Methyl-2-pyrrolidone,Solvent,C5H9NO,,,,,[],,,,,
ComponentAmount_c431b26dea83,ComponentAmount,entity,,,,,,,,,,Volume Fraction,,,,80.0,vol%,,,,,,,
Property_c7fc5935e7c1,Property,entity,,,,,,,,,,Viscosity,,,,1.0,Pa.s,at 50 1/s shear rate,,,,,,
Property_d88386a0480e,Property,entity,,,,,,,,,,Viscosity,,,,10.8,Pa.s,at 50 1/s shear rate,,,,,,
Property_daf0531e88d5,Property,entity,,,,,,,,,,Viscosity,,,,3.6,Pa.s,at 50 1/s shear rate,,,,,,
Property_947c06a6d86c,Property,entity,,,,,,,,,,Viscosity,,,,1.9,Pa.s,at 50 1/s shear rate,,,,,,
Property_1e8f6d076b6e,Property,entity,,,,,,,,,,Viscosity,,,,6.2,Pa.s,at 50 1/s shear rate,,,,,,
ProcessStep_80b7b459ad4b,ProcessStep,entity,,,,,,,,,,High-speed dry mixing,,,,,,,,Mixing,,,,
Parameter_1a3c3f0ae7a2,Parameter,entity,,,,,,,,,,Speed,,,,2800.0,RPM,,,,,,,
Parameter_9a769df0ff0e,Parameter,entity,,,,,,,,,,Duration,,,,10.0,min,,,,,,,
ProcessStep_9629b65e85d3,ProcessStep,entity,,,,,,,,,,Vacuum equipped dissolver mixing,,,,,,,,Mixing,,,,
Parameter_a1440d9889c8,Parameter,entity,,,,,,,,,,Speed,,,,2000.0,RPM,,,,,,,
Parameter_44a26cd106c6,Parameter,entity,,,,,,,,,,Duration,,,,30.0,min,,,,,,,
EvaluationResult_5a31c5f8ed13,EvaluationResult,entity,,,,,,,,,,,,,,,,,,,Viscosity,"Rheometer (MCR 300, Paar Physica, Austria) with a plate-plate geometry (PP50, gap 1 mm) at a temperature of 25°C",,Increasing
EvaluationMetric_c7fc5935e7c1,EvaluationMetric,entity,,,,,,,,,,Viscosity,,,,1.0,Pa.s,at 50 1/s shear rate,,,,,,
EvaluationResult_f104f3ea6cd9,EvaluationResult,entity,,,,,,,,,,,,,,,,,,,Viscosity,"Rheometer (MCR 300, Paar Physica, Austria) with a plate-plate geometry (PP50, gap 1 mm) at a temperature of 25°C",,Increasing
EvaluationMetric_d88386a0480e,EvaluationMetric,entity,,,,,,,,,,Viscosity,,,,10.8,Pa.s,at 50 1/s shear rate,,,,,,
EvaluationResult_6aef49030442,EvaluationResult,entity,,,,,,,,,,,,,,,,,,,Viscosity,"Rheometer (MCR 300, Paar Physica, Austria) with a plate-plate geometry (PP50, gap 1 mm) at a temperature of 25°C",,Increasing
EvaluationMetric_daf0531e88d5,EvaluationMetric,entity,,,,,,,,,,Viscosity,,,,3.6,Pa.s,at 50 1/s shear rate,,,,,,
EvaluationResult_76939dc1fdae,EvaluationResult,entity,,,,,,,,,,,,,,,,,,,Viscosity,"Rheometer (MCR 300, Paar Physica, Austria) with a plate-plate geometry (PP50, gap 1 mm) at a temperature of 25°C",,Increasing
EvaluationMetric_947c06a6d86c,EvaluationMetric,entity,,,,,,,,,,Viscosity,,,,1.9,Pa.s,at 50 1/s shear rate,,,,,,
EvaluationResult_a736574e3563,EvaluationResult,entity,,,,,,,,,,,,,,,,,,,Viscosity,"Rheometer (MCR 300, Paar Physica, Austria) with a plate-plate geometry (PP50, gap 1 mm) at a temperature of 25°C",,Increasing
EvaluationMetric_1e8f6d076b6e,EvaluationMetric,entity,,,,,,,,,,Viscosity,,,,6.2,Pa.s,at 50 1/s shear rate,,,,,,
